run,group_size,groups,n_columns,auc
318,4,"('workclass', 'education', 'marital.status', 'race')",37,0.8645617796127484
319,4,"('workclass', 'education', 'marital.status', 'sex')",34,0.8656288894147385
320,4,"('workclass', 'education', 'marital.status', 'native.country')",74,0.8653650856324734
321,4,"('workclass', 'education', 'occupation', 'relationship')",46,0.8760861412786767
322,4,"('workclass', 'education', 'occupation', 'race')",45,0.7824053023528408
323,4,"('workclass', 'education', 'occupation', 'sex')",42,0.799453120199138
324,4,"('workclass', 'education', 'occupation', 'native.country')",82,0.7804945019668916
325,4,"('workclass', 'education', 'relationship', 'race')",36,0.8636792522051291
326,4,"('workclass', 'education', 'relationship', 'sex')",33,0.8652157859908154
327,4,"('workclass', 'education', 'relationship', 'native.country')",73,0.8658816297180866
328,4,"('workclass', 'education', 'race', 'sex')",32,0.7711248244747542
329,4,"('workclass', 'education', 'race', 'native.country')",72,0.7456901444007561
330,4,"('workclass', 'education', 'sex', 'native.country')",69,0.7719840211263149
331,4,"('workclass', 'marital.status', 'occupation', 'relationship')",37,0.8617921838413132
332,4,"('workclass', 'marital.status', 'occupation', 'race')",36,0.8547655276213224
333,4,"('workclass', 'marital.status', 'occupation', 'sex')",33,0.8601215412010833
334,4,"('workclass', 'marital.status', 'occupation', 'native.country')",73,0.8579743664352624
335,4,"('workclass', 'marital.status', 'relationship', 'race')",27,0.8127310146115881
336,4,"('workclass', 'marital.status', 'relationship', 'sex')",24,0.8128474677588441
337,4,"('workclass', 'marital.status', 'relationship', 'native.country')",64,0.8136146311699819
338,4,"('workclass', 'marital.status', 'race', 'sex')",23,0.8075839460093058
339,4,"('workclass', 'marital.status', 'race', 'native.country')",63,0.8099851508622864
340,4,"('workclass', 'marital.status', 'sex', 'native.country')",60,0.8093404022658004
341,4,"('workclass', 'occupation', 'relationship', 'race')",35,0.8586143858244389
342,4,"('workclass', 'occupation', 'relationship', 'sex')",32,0.8643105870499743
343,4,"('workclass', 'occupation', 'relationship', 'native.country')",72,0.8613317596824358
344,4,"('workclass', 'occupation', 'race', 'sex')",31,0.7747893295784001
345,4,"('workclass', 'occupation', 'race', 'native.country')",71,0.748902021372119
346,4,"('workclass', 'occupation', 'sex', 'native.country')",68,0.7739960838724056
347,4,"('workclass', 'relationship', 'race', 'sex')",22,0.8130187510490241
348,4,"('workclass', 'relationship', 'race', 'native.country')",62,0.8150806854358299
349,4,"('workclass', 'relationship', 'sex', 'native.country')",59,0.81331029951417
350,4,"('workclass', 'race', 'sex', 'native.country')",58,0.6785287797200583
351,4,"('education', 'marital.status', 'occupation', 'relationship')",44,0.8750575243579972
352,4,"('education', 'marital.status', 'occupation', 'race')",43,0.8713143711037065
353,4,"('education', 'marital.status', 'occupation', 'sex')",40,0.8754424531711025
354,4,"('education', 'marital.status', 'occupation', 'native.country')",80,0.8737796638811921
355,4,"('education', 'marital.status', 'relationship', 'race')",34,0.8616379830211712
356,4,"('education', 'marital.status', 'relationship', 'sex')",31,0.8631443072038036
357,4,"('education', 'marital.status', 'relationship', 'native.country')",71,0.8630059563936132
358,4,"('education', 'marital.status', 'race', 'sex')",30,0.8588715400546088
359,4,"('education', 'marital.status', 'race', 'native.country')",70,0.8572509123644064
360,4,"('education', 'marital.status', 'sex', 'native.country')",67,0.8624299389433541
361,4,"('education', 'occupation', 'relationship', 'race')",42,0.8740061499185086
362,4,"('education', 'occupation', 'relationship', 'sex')",39,0.8750474067205418
363,4,"('education', 'occupation', 'relationship', 'native.country')",79,0.8748365987220019
364,4,"('education', 'occupation', 'race', 'sex')",38,0.792728187405473
365,4,"('education', 'occupation', 'race', 'native.country')",78,0.7702809332577577
366,4,"('education', 'occupation', 'sex', 'native.country')",75,0.7933353316383853
367,4,"('education', 'relationship', 'race', 'sex')",29,0.8611869886150496
368,4,"('education', 'relationship', 'race', 'native.country')",69,0.8611668393257261
369,4,"('education', 'relationship', 'sex', 'native.country')",66,0.8628397749149546
370,4,"('education', 'race', 'sex', 'native.country')",65,0.7602208488222038
371,4,"('marital.status', 'occupation', 'relationship', 'race')",33,0.8578401142714063
372,4,"('marital.status', 'occupation', 'relationship', 'sex')",30,0.8607187970914401
373,4,"('marital.status', 'occupation', 'relationship', 'native.country')",70,0.8587676694649815
374,4,"('marital.status', 'occupation', 'race', 'sex')",29,0.8571996362924299
375,4,"('marital.status', 'occupation', 'race', 'native.country')",69,0.8547300155737096
376,4,"('marital.status', 'occupation', 'sex', 'native.country')",66,0.8576610349546316
377,4,"('marital.status', 'relationship', 'race', 'sex')",20,0.8006555426538959
378,4,"('marital.status', 'relationship', 'race', 'native.country')",60,0.8035955331977742
379,4,"('marital.status', 'relationship', 'sex', 'native.country')",57,0.8040231968478371
380,4,"('marital.status', 'race', 'sex', 'native.country')",56,0.7908140909053388
381,4,"('occupation', 'relationship', 'race', 'sex')",28,0.8588243626289669
382,4,"('occupation', 'relationship', 'race', 'native.country')",68,0.8571893753456621
383,4,"('occupation', 'relationship', 'sex', 'native.country')",65,0.858737287890753
